"filename", "language", "Markdown", "pip requirements", "Python", "JSON", "Log", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\GitHub\InteliChatDev\CompanyConfig\Art\ChatChainConfig.json", "JSON", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 120
"c:\GitHub\InteliChatDev\CompanyConfig\Default\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 1, 102
"c:\GitHub\InteliChatDev\CompanyConfig\Default\PhaseConfig.json", "JSON", 0, 0, 0, 277, 0, 0, 0, 0, 0, 0, 277
"c:\GitHub\InteliChatDev\CompanyConfig\Default\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\CompanyConfig\Human\ChatChainConfig.json", "JSON", 0, 0, 0, 114, 0, 0, 0, 0, 0, 1, 115
"c:\GitHub\InteliChatDev\CompanyConfig\Human\PhaseConfig.json", "JSON", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 301
"c:\GitHub\InteliChatDev\Contribution.md", "Markdown", 276, 0, 0, 0, 0, 0, 0, 0, 0, 4, 280
"c:\GitHub\InteliChatDev\README.md", "Markdown", 163, 0, 0, 0, 0, 0, 0, 0, 0, 34, 197
"c:\GitHub\InteliChatDev\WareHouse\2048_THUNLP_20230822144615\20230822144615.log", "Log", 0, 0, 0, 0, 6302, 0, 0, 0, 0, 1573, 7875
"c:\GitHub\InteliChatDev\WareHouse\2048_THUNLP_20230822144615\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 101
"c:\GitHub\InteliChatDev\WareHouse\2048_THUNLP_20230822144615\PhaseConfig.json", "JSON", 0, 0, 0, 302, 0, 0, 0, 0, 0, 0, 302
"c:\GitHub\InteliChatDev\WareHouse\2048_THUNLP_20230822144615\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\2048_THUNLP_20230822144615\game.py", "Python", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 103
"c:\GitHub\InteliChatDev\WareHouse\2048_THUNLP_20230822144615\main.py", "Python", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 48
"c:\GitHub\InteliChatDev\WareHouse\2048_THUNLP_20230822144615\manual.md", "Markdown", 28, 0, 0, 0, 0, 0, 0, 0, 0, 15, 43
"c:\GitHub\InteliChatDev\WareHouse\2048_THUNLP_20230822144615\requirements.txt", "pip requirements", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\GitHub\InteliChatDev\WareHouse\ArtCanvas_THUNLP_20230825093558\ArtCanvas_THUNLP_20230825093558.log", "Log", 0, 0, 0, 0, 2239, 0, 0, 0, 0, 1009, 3248
"c:\GitHub\InteliChatDev\WareHouse\ArtCanvas_THUNLP_20230825093558\ChatChainConfig.json", "JSON", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 101
"c:\GitHub\InteliChatDev\WareHouse\ArtCanvas_THUNLP_20230825093558\PhaseConfig.json", "JSON", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 301
"c:\GitHub\InteliChatDev\WareHouse\ArtCanvas_THUNLP_20230825093558\RoleConfig.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\GitHub\InteliChatDev\WareHouse\ArtCanvas_THUNLP_20230825093558\main.py", "Python", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 39
